product_id,name,category,price,updated_at
1001,LED TV 42 Inch,Electronics,450,2024-02-21 10:00:00
1002,Washing Machine 7kg,Home Appliances,390,2024-02-22 11:00:00
1003,Laptop i5 11th Gen,Electronics,750,2024-02-23 12:00:00
1004,Gas Stove 2 Burner,Kitchen,48,2024-02-24 13:00:00
1005,Rice Cooker 1.8L,Kitchen,32,2024-02-25 14:00:00
1006,Mobile Phone A52,Electronics,330,2024-02-26 15:00:00
1007,Bluetooth Speaker,Electronics,22,2024-02-27 16:00:00
1008,Office Chair Deluxe,Furniture,85,2024-02-28 17:00:00
1009,Study Table,Furniture,70,2024-02-29 18:00:00
1010,Air Fryer 4L,Kitchen,100,2024-03-01 19:00:00
1011,Electric Kettle,Kitchen,14,2024-03-02 10:00:00
1012,Shoes Sports Men's,Fashion,28,2024-03-03 11:00:00
1013,Women's Handbag,Fashion,34,2024-03-04 12:00:00
1014,Smartwatch Pro,Electronics,60,2024-03-05 13:00:00
1015,Keyboard Wireless,Electronics,11,2024-03-06 14:00:00
1016,Mouse Wireless,Electronics,7,2024-03-07 15:00:00
1017,Table Lamp LED,Home Decor,18,2024-03-08 16:00:00
1018,Bed Sheets Set,Furniture,22,2024-03-09 17:00:00
1019,Water Bottle Steel,Accessories,6,2024-03-10 18:00:00
1020,Backpack Travel,Fashion,33,2024-03-11 19:00:00
